;Tweets;Analysis;step01;tokens;tokens_perbaikan;Stop_removal;step02;ProcessedText
36;anjing buat orang orang yg motornya pake knalpot racing;0;anjing buat orang orang yg motornya pake knalpot racing;['anjing', 'buat', 'orang', 'orang', 'yg', 'motornya', 'pake', 'knalpot', 'racing'];['anjing', 'buat', 'orang', 'orang', 'yang', 'motornya', 'pakai', 'knalpot', 'racing'];['anjing', 'orang', 'orang', 'motornya', 'pakai', 'knalpot', 'racing'];anjing orang orang motornya pakai knalpot racing;anjing orang orang motor pakai knalpot racing
37;@pacewhite1 bulan depan mau ganti knalpot racing;0;user bulan depan mau ganti knalpot racing;['user', 'bulan', 'depan', 'mau', 'ganti', 'knalpot', 'racing'];['user', 'bulan', 'depan', 'mau', 'ganti', 'knalpot', 'racing'];['user', 'ganti', 'knalpot', 'racing'];user ganti knalpot racing;user ganti knalpot racing
38;TAPI MAKASIH PAK KAPOLRI, SAATNYA PAKE KNALPOT RACING LAGI;1;allcaps tapi makasih pak kapolri allcaps allcaps saatnya pake knalpot racing lagi allcaps;['allcaps', 'tapi', 'makasih', 'pak', 'kapolri', 'allcaps', 'allcaps', 'saatnya', 'pake', 'knalpot', 'racing', 'lagi', 'allcaps'];['allcaps', 'tapi', 'makasih', 'pak', 'kapolri', 'allcaps', 'allcaps', 'saatnya', 'pakai', 'knalpot', 'racing', 'lagi', 'allcaps'];['allcaps', 'makasih', 'kapolri', 'allcaps', 'allcaps', 'pakai', 'knalpot', 'racing', 'allcaps'];allcaps makasih kapolri allcaps allcaps pakai knalpot racing allcaps;allcaps makasih kapolri allcaps allcaps pakai knalpot racing allcaps
39;"ㅤㅤ

Update chatan gue dan Caca. 

1. Caca udah putus sama pacarnya yang kayak knalpot racing itu. 

2. Caca sekaran… https://t.co/3Pmsn6C59W";-1;update chatan gue dan caca number caca udah putus sama pacarnya yang kayak knalpot racing itu number caca sekaran;['update', 'chatan', 'gue', 'dan', 'caca', 'number', 'caca', 'udah', 'putus', 'sama', 'pacarnya', 'yang', 'kayak', 'knalpot', 'racing', 'itu', 'number', 'caca', 'sekaran'];['update', 'chatan', 'saya', 'dan', 'caca', 'number', 'caca', 'sudah', 'putus', 'sama', 'pacarnya', 'yang', 'kayak', 'knalpot', 'racing', 'itu', 'number', 'caca', 'sekaran'];['update', 'chatan', 'caca', 'number', 'caca', 'putus', 'pacarnya', 'kayak', 'knalpot', 'racing', 'number', 'caca', 'sekaran'];update chatan caca number caca putus pacarnya kayak knalpot racing number caca sekaran;update chatan caca number caca putus pacar kayak knalpot racing number caca sekar
40;@ssefnum minusnya adalah berisik banyak knalpot racing;-1;user minusnya adalah berisik banyak knalpot racing;['user', 'minusnya', 'adalah', 'berisik', 'banyak', 'knalpot', 'racing'];['user', 'minusnya', 'adalah', 'berisik', 'banyak', 'knalpot', 'racing'];['user', 'minusnya', 'berisik', 'knalpot', 'racing'];user minusnya berisik knalpot racing;user minus berisik knalpot racing
41;buset ini napas kenceng bener udeh kaya knalpot racing;1;buset ini napas kenceng bener udeh kaya knalpot racing;['buset', 'ini', 'napas', 'kenceng', 'bener', 'udeh', 'kaya', 'knalpot', 'racing'];['aduh', 'ini', 'napas', 'kenceng', 'benar', 'sudah', 'kaya', 'knalpot', 'racing'];['aduh', 'napas', 'kenceng', 'kaya', 'knalpot', 'racing'];aduh napas kenceng kaya knalpot racing;aduh napas kenceng kaya knalpot racing
42;@kostanalter apalah dayaku yang suaranya kaya knalpot racing;0;user apalah dayaku yang suaranya kaya knalpot racing;['user', 'apalah', 'dayaku', 'yang', 'suaranya', 'kaya', 'knalpot', 'racing'];['user', 'apalah', 'dayaku', 'yang', 'suaranya', 'kaya', 'knalpot', 'racing'];['user', 'apalah', 'dayaku', 'suaranya', 'kaya', 'knalpot', 'racing'];user apalah dayaku suaranya kaya knalpot racing;user apa daya suara kaya knalpot racing
43;Saya menjual Knalpot Racing Origi... seharga Rp875.000. Dapatkan di Shopee sekarang! https://t.co/wkenPBTbVo… https://t.co/roc04AZnT0;0;saya menjual knalpot racing origi repeated seharga rp875 number dapatkan di shopee sekarang;['saya', 'menjual', 'knalpot', 'racing', 'origi', 'repeated', 'seharga', 'rp875', 'number', 'dapatkan', 'di', 'shopee', 'sekarang'];['saya', 'menjual', 'knalpot', 'racing', 'origi', 'repeated', 'seharga', 'rp875', 'number', 'dapatkan', 'di', 'shopee', 'sekarang'];['menjual', 'knalpot', 'racing', 'origi', 'repeated', 'seharga', 'rp875', 'number', 'dapatkan', 'shopee'];menjual knalpot racing origi repeated seharga rp875 number dapatkan shopee;jual knalpot racing origi repeated harga rp875 number dapat shopee
44;Saran knalpot racing yg bagus merk apa sih? Bingung nih https://t.co/IhY6CijriN;-1;saran knalpot racing yg bagus merk apa sih bingung nih;['saran', 'knalpot', 'racing', 'yg', 'bagus', 'merk', 'apa', 'sih', 'bingung', 'nih'];['saran', 'knalpot', 'racing', 'yang', 'bagus', 'merk', 'apa', 'sih', 'bingung', 'ini'];['saran', 'knalpot', 'racing', 'bagus', 'merk', 'sih', 'bingung'];saran knalpot racing bagus merk sih bingung;saran knalpot racing bagus merk sih bingung
45;"STOP MENGGUNAKAN KNALPOT RACING

@chryshnandadwilaksana
@roadsafety_policing
@divisihumaspolri 
@ntmc_polri… https://t.co/y6J8wRvdDL";0;allcaps stop menggunakan knalpot racing allcaps user user user user;['allcaps', 'stop', 'menggunakan', 'knalpot', 'racing', 'allcaps', 'user', 'user', 'user', 'user'];['allcaps', 'stop', 'menggunakan', 'knalpot', 'racing', 'allcaps', 'user', 'user', 'user', 'user'];['allcaps', 'stop', 'knalpot', 'racing', 'allcaps', 'user', 'user', 'user', 'user'];allcaps stop knalpot racing allcaps user user user user;allcaps stop knalpot racing allcaps user user user user
46;masih mencari-cari, aerok yg ga pake knalpot racing ada ga si;0;masih mencari cari aerok yg ga pake knalpot racing ada ga si;['masih', 'mencari', 'cari', 'aerok', 'yg', 'ga', 'pake', 'knalpot', 'racing', 'ada', 'ga', 'si'];['masih', 'mencari', 'cari', 'aerok', 'yang', 'tidak', 'pakai', 'knalpot', 'racing', 'ada', 'tidak', 'sih'];['mencari', 'cari', 'aerok', 'pakai', 'knalpot', 'racing', 'sih'];mencari cari aerok pakai knalpot racing sih;cari cari aerok pakai knalpot racing sih
47;@fboneka Tau ya, parah banget. Belum aja nanti dia punya knalpot racing!;-1;user tau ya parah banget belum aja nanti dia punya knalpot racing;['user', 'tau', 'ya', 'parah', 'banget', 'belum', 'aja', 'nanti', 'dia', 'punya', 'knalpot', 'racing'];['user', 'tau', 'iya', 'parah', 'banget', 'belum', 'saja', 'nanti', 'dia', 'punya', 'knalpot', 'racing'];['user', 'tau', 'iya', 'parah', 'banget', 'knalpot', 'racing'];user tau iya parah banget knalpot racing;user tau iya parah banget knalpot racing
48;Motor bebek pake knalpot racing 75ribu, lewat gang kecil disumpahin ibu-ibu.;-1;motor bebek pake knalpot racing 7 5 ribu lewat gang kecil disumpahin ibu ibu;['motor', 'bebek', 'pake', 'knalpot', 'racing', '7', '5', 'ribu', 'lewat', 'gang', 'kecil', 'disumpahin', 'ibu', 'ibu'];['motor', 'bebek', 'pakai', 'knalpot', 'racing', '7', '5', 'ribu', 'lewat', 'gang', 'kecil', 'disumpahin', 'ibu', 'ibu'];['motor', 'bebek', 'pakai', 'knalpot', 'racing', '7', '5', 'ribu', 'gang', 'disumpahin'];motor bebek pakai knalpot racing 7 5 ribu gang disumpahin;motor bebek pakai knalpot racing 7 5 ribu gang disumpahin
49;@kegblgnunfaedh Pernah pake motor sport knalpot sudah racing, ketemu yg gini ku blayer bunyi semua alarmnya wkwk bodoh banget;-1;user pernah pake motor sport knalpot sudah racing ketemu yg gini ku blayer bunyi semua alarmnya wkwk bodoh banget;['user', 'pernah', 'pake', 'motor', 'sport', 'knalpot', 'sudah', 'racing', 'ketemu', 'yg', 'gini', 'ku', 'blayer', 'bunyi', 'semua', 'alarmnya', 'wkwk', 'bodoh', 'banget'];['user', 'pernah', 'pakai', 'motor', 'sport', 'knalpot', 'sudah', 'racing', 'ketemu', 'yang', 'gini', 'ku', 'blayer', 'bunyi', 'semua', 'alarmnya', 'wkwk', 'bodoh', 'banget'];['user', 'pakai', 'motor', 'sport', 'knalpot', 'racing', 'ketemu', 'gini', 'ku', 'blayer', 'bunyi', 'alarmnya', 'wkwk', 'bodoh', 'banget'];user pakai motor sport knalpot racing ketemu gini ku blayer bunyi alarmnya wkwk bodoh banget;user pakai motor sport knalpot racing ketemu gin ku blayer bunyi alarm wkwk bodoh banget
50;@AgeSani Bolongan irung e diganti knalpot racing wae ben mantep kak;0;user bolongan irung diganti knalpot racing wae ben mantep kak;['user', 'bolongan', 'irung', 'diganti', 'knalpot', 'racing', 'wae', 'ben', 'mantep', 'kak'];['user', 'bolongan', 'irung', 'diganti', 'knalpot', 'racing', 'wae', 'ben', 'bagus', 'kak'];['user', 'bolongan', 'irung', 'diganti', 'knalpot', 'racing', 'wae', 'ben', 'bagus', 'kak'];user bolongan irung diganti knalpot racing wae ben bagus kak;user bolong irung ganti knalpot racing wae ben bagus kak
51;"Lain-lain:
-Knalpot CLD std racing
-Selang rem KTC (new)
-Ban d/b FDR MP 27 (new)
-Body halus full ori (new)
-Body… https://t.co/PAnf6hY2Mg";1;lain lain knalpot allcaps cld allcaps std racing selang rem allcaps ktc allcaps new ban allcaps fdr mp allcaps number new body halus full ori new body;['lain', 'lain', 'knalpot', 'allcaps', 'cld', 'allcaps', 'std', 'racing', 'selang', 'rem', 'allcaps', 'ktc', 'allcaps', 'new', 'ban', 'allcaps', 'fdr', 'mp', 'allcaps', 'number', 'new', 'body', 'halus', 'full', 'ori', 'new', 'body'];['lain', 'lain', 'knalpot', 'allcaps', 'cld', 'allcaps', 'std', 'racing', 'selang', 'rem', 'allcaps', 'ktc', 'allcaps', 'new', 'ban', 'allcaps', 'fdr', 'mp', 'allcaps', 'number', 'new', 'body', 'halus', 'penuh', 'ori', 'new', 'body'];['knalpot', 'allcaps', 'cld', 'allcaps', 'std', 'racing', 'selang', 'rem', 'allcaps', 'ktc', 'allcaps', 'new', 'ban', 'allcaps', 'fdr', 'mp', 'allcaps', 'number', 'new', 'body', 'halus', 'penuh', 'ori', 'new', 'body'];knalpot allcaps cld allcaps std racing selang rem allcaps ktc allcaps new ban allcaps fdr mp allcaps number new body halus penuh ori new body;knalpot allcaps cld allcaps std racing selang rem allcaps ktc allcaps new ban allcaps fdr mp allcaps number new body halus penuh ori new body
52;Udah di fase mulai ga suka suara knalpot racing, tapi kalo denger yg 2cyl up, kok malah jatuh cinta ya? 🫠🫠🫠;1;udah di fase mulai ga suka suara knalpot racing tapi kalo denger yg 2 cyl up kok malah jatuh cinta ya;['udah', 'di', 'fase', 'mulai', 'ga', 'suka', 'suara', 'knalpot', 'racing', 'tapi', 'kalo', 'denger', 'yg', '2', 'cyl', 'up', 'kok', 'malah', 'jatuh', 'cinta', 'ya'];['sudah', 'di', 'fase', 'mulai', 'tidak', 'suka', 'suara', 'knalpot', 'racing', 'tapi', 'kalau', 'dengar', 'yang', '2', 'cyl', 'up', 'kok', 'malah', 'jatuh', 'cinta', 'iya'];['fase', 'suka', 'suara', 'knalpot', 'racing', 'dengar', '2', 'cyl', 'up', 'jatuh', 'cinta', 'iya'];fase suka suara knalpot racing dengar 2 cyl up jatuh cinta iya;fase suka suara knalpot racing dengar 2 cyl up jatuh cinta iya
53;"Yg lebih norak dari mas mas knalpot racing, adalah 

tuan nyonya punya mobil ga punya garasi";1;yg lebih norak dari mas mas knalpot racing adalah tuan nyonya punya mobil ga punya garasi;['yg', 'lebih', 'norak', 'dari', 'mas', 'mas', 'knalpot', 'racing', 'adalah', 'tuan', 'nyonya', 'punya', 'mobil', 'ga', 'punya', 'garasi'];['yang', 'lebih', 'norak', 'dari', 'mas', 'mas', 'knalpot', 'racing', 'adalah', 'tuan', 'nyonya', 'punya', 'mobil', 'tidak', 'punya', 'garasi'];['norak', 'mas', 'mas', 'knalpot', 'racing', 'tuan', 'nyonya', 'mobil', 'garasi'];norak mas mas knalpot racing tuan nyonya mobil garasi;norak mas mas knalpot racing tuan nyonya mobil garasi
54;@wonwocc TADI KNALPOT RACING.;0;user allcaps tadi knalpot racing allcaps;['user', 'allcaps', 'tadi', 'knalpot', 'racing', 'allcaps'];['user', 'allcaps', 'tadi', 'knalpot', 'racing', 'allcaps'];['user', 'allcaps', 'knalpot', 'racing', 'allcaps'];user allcaps knalpot racing allcaps;user allcaps knalpot racing allcaps
55;@karincyoo @haecchna Muncul lg itu knalpot racing;0;user user muncul lg itu knalpot racing;['user', 'user', 'muncul', 'lg', 'itu', 'knalpot', 'racing'];['user', 'user', 'muncul', 'lg', 'itu', 'knalpot', 'racing'];['user', 'user', 'muncul', 'lg', 'knalpot', 'racing'];user user muncul lg knalpot racing;user user muncul lg knalpot racing
56;@wonwocc hallo hyung knalpot racing.;0;user hallo hyung knalpot racing;['user', 'hallo', 'hyung', 'knalpot', 'racing'];['user', 'hallo', 'hyung', 'knalpot', 'racing'];['user', 'hallo', 'hyung', 'knalpot', 'racing'];user hallo hyung knalpot racing;user hallo hyung knalpot racing
57;@eunseodk Y masama knalpot racing;0;user masama knalpot racing;['user', 'masama', 'knalpot', 'racing'];['user', 'masama', 'knalpot', 'racing'];['user', 'masama', 'knalpot', 'racing'];user masama knalpot racing;user masama knalpot racing
58;@kithjuni di sini yang blonde motornya knalpot racing;0;user di sini yang blonde motornya knalpot racing;['user', 'di', 'sini', 'yang', 'blonde', 'motornya', 'knalpot', 'racing'];['user', 'di', 'sini', 'yang', 'blonde', 'motornya', 'knalpot', 'racing'];['user', 'blonde', 'motornya', 'knalpot', 'racing'];user blonde motornya knalpot racing;user blonde motor knalpot racing
59;RT @ardianrm: @ezash Ada matic make knalpot racing aja udah aneh 😓;-1;rt user user ada matic make knalpot racing aja udah aneh;['rt', 'user', 'user', 'ada', 'matic', 'make', 'knalpot', 'racing', 'aja', 'udah', 'aneh'];['rt', 'user', 'user', 'ada', 'matic', 'make', 'knalpot', 'racing', 'saja', 'sudah', 'aneh'];['rt', 'user', 'user', 'matic', 'make', 'knalpot', 'racing', 'aneh'];rt user user matic make knalpot racing aneh;rt user user matic make knalpot racing aneh
60;@laahluapa Knalpot racing, gespulna di bere minyak kayu putih beuh mantap🤣;0;user knalpot racing gespulna di bere minyak kayu putih beuh mantap;['user', 'knalpot', 'racing', 'gespulna', 'di', 'bere', 'minyak', 'kayu', 'putih', 'beuh', 'mantap'];['user', 'knalpot', 'racing', 'gespulna', 'di', 'bere', 'minyak', 'kayu', 'putih', 'beuh', 'mantap'];['user', 'knalpot', 'racing', 'gespulna', 'bere', 'minyak', 'kayu', 'putih', 'beuh', 'mantap'];user knalpot racing gespulna bere minyak kayu putih beuh mantap;user knalpot racing gespulna bere minyak kayu putih beuh mantap
61;RT @ardianrm: @ezash Ada matic make knalpot racing aja udah aneh 😓;-1;rt user user ada matic make knalpot racing aja udah aneh;['rt', 'user', 'user', 'ada', 'matic', 'make', 'knalpot', 'racing', 'aja', 'udah', 'aneh'];['rt', 'user', 'user', 'ada', 'matic', 'make', 'knalpot', 'racing', 'saja', 'sudah', 'aneh'];['rt', 'user', 'user', 'matic', 'make', 'knalpot', 'racing', 'aneh'];rt user user matic make knalpot racing aneh;rt user user matic make knalpot racing aneh
62;"@eunseodk ts jadi klakson motor dan harus ngetik ""tinnnn tinnnnnn ngengggg"" di setiap tweet

@wonwocc ts jadi knalp… https://t.co/JJQKcSLM5w";0;user ts jadi klakson motor dan harus ngetik tin elongated tin elongated ngengg elongated di setiap tweet user ts jadi knalp;['user', 'ts', 'jadi', 'klakson', 'motor', 'dan', 'harus', 'ngetik', 'tin', 'elongated', 'tin', 'elongated', 'ngengg', 'elongated', 'di', 'setiap', 'tweet', 'user', 'ts', 'jadi', 'knalp'];['user', 'ts', 'jadi', 'klakson', 'motor', 'dan', 'harus', 'mengetik', 'tin', 'elongated', 'tin', 'elongated', 'ngengg', 'elongated', 'di', 'setiap', 'tweet', 'user', 'ts', 'jadi', 'knalp'];['user', 'ts', 'klakson', 'motor', 'mengetik', 'tin', 'elongated', 'tin', 'elongated', 'ngengg', 'elongated', 'tweet', 'user', 'ts', 'knalp'];user ts klakson motor mengetik tin elongated tin elongated ngengg elongated tweet user ts knalp;user ts klakson motor etik tin elongated tin elongated ngengg elongated tweet user ts knalp
63;RT @ardianrm: @ezash Ada matic make knalpot racing aja udah aneh 😓;-1;rt user user ada matic make knalpot racing aja udah aneh;['rt', 'user', 'user', 'ada', 'matic', 'make', 'knalpot', 'racing', 'aja', 'udah', 'aneh'];['rt', 'user', 'user', 'ada', 'matic', 'make', 'knalpot', 'racing', 'saja', 'sudah', 'aneh'];['rt', 'user', 'user', 'matic', 'make', 'knalpot', 'racing', 'aneh'];rt user user matic make knalpot racing aneh;rt user user matic make knalpot racing aneh
64;orang yg pake satria fu knalpot racing kelak dineraka tulang keringnya di hantam kunci pass kupingnya ditempelin kn… https://t.co/Hf7LDuqqe6;0;orang yg pake satria fu knalpot racing kelak dineraka tulang keringnya di hantam kunci pass kupingnya ditempelin kn;['orang', 'yg', 'pake', 'satria', 'fu', 'knalpot', 'racing', 'kelak', 'dineraka', 'tulang', 'keringnya', 'di', 'hantam', 'kunci', 'pass', 'kupingnya', 'ditempelin', 'kn'];['orang', 'yang', 'pakai', 'satria', 'fu', 'knalpot', 'racing', 'kelak', 'dineraka', 'tulang', 'keringnya', 'di', 'hantam', 'kunci', 'pass', 'kupingnya', 'ditempelin', 'kn'];['orang', 'pakai', 'satria', 'fu', 'knalpot', 'racing', 'kelak', 'dineraka', 'tulang', 'keringnya', 'hantam', 'kunci', 'pass', 'kupingnya', 'ditempelin', 'kn'];orang pakai satria fu knalpot racing kelak dineraka tulang keringnya hantam kunci pass kupingnya ditempelin kn;orang pakai satria fu knalpot racing kelak neraka tulang kering hantam kunci pass kuping ditempelin kn
65;"Orang yang make knalpot racing harusnya dihukum dengar babyshark 24 jam nonstop

#knalpot #racing #motorin";0;orang yang make knalpot racing harusnya dihukum dengar babyshark number jam nonstop hashtag knalpot hashtag hashtag racing hashtag hashtag motor in hashtag;['orang', 'yang', 'make', 'knalpot', 'racing', 'harusnya', 'dihukum', 'dengar', 'babyshark', 'number', 'jam', 'nonstop', 'hashtag', 'knalpot', 'hashtag', 'hashtag', 'racing', 'hashtag', 'hashtag', 'motor', 'in', 'hashtag'];['orang', 'yang', 'make', 'knalpot', 'racing', 'harusnya', 'dihukum', 'dengar', 'babyshark', 'number', 'jam', 'nonstop', 'hashtag', 'knalpot', 'hashtag', 'hashtag', 'racing', 'hashtag', 'hashtag', 'motor', 'in', 'hashtag'];['orang', 'make', 'knalpot', 'racing', 'dihukum', 'dengar', 'babyshark', 'number', 'jam', 'nonstop', 'hashtag', 'knalpot', 'hashtag', 'hashtag', 'racing', 'hashtag', 'hashtag', 'motor', 'in', 'hashtag'];orang make knalpot racing dihukum dengar babyshark number jam nonstop hashtag knalpot hashtag hashtag racing hashtag hashtag motor in hashtag;orang make knalpot racing hukum dengar babyshark number jam nonstop hashtag knalpot hashtag hashtag racing hashtag hashtag motor in hashtag
66;RT @ardianrm: @ezash Ada matic make knalpot racing aja udah aneh 😓;-1;rt user user ada matic make knalpot racing aja udah aneh;['rt', 'user', 'user', 'ada', 'matic', 'make', 'knalpot', 'racing', 'aja', 'udah', 'aneh'];['rt', 'user', 'user', 'ada', 'matic', 'make', 'knalpot', 'racing', 'saja', 'sudah', 'aneh'];['rt', 'user', 'user', 'matic', 'make', 'knalpot', 'racing', 'aneh'];rt user user matic make knalpot racing aneh;rt user user matic make knalpot racing aneh
67;RT @ardianrm: @ezash Ada matic make knalpot racing aja udah aneh 😓;-1;rt user user ada matic make knalpot racing aja udah aneh;['rt', 'user', 'user', 'ada', 'matic', 'make', 'knalpot', 'racing', 'aja', 'udah', 'aneh'];['rt', 'user', 'user', 'ada', 'matic', 'make', 'knalpot', 'racing', 'saja', 'sudah', 'aneh'];['rt', 'user', 'user', 'matic', 'make', 'knalpot', 'racing', 'aneh'];rt user user matic make knalpot racing aneh;rt user user matic make knalpot racing aneh
68;RT @ardianrm: @ezash Ada matic make knalpot racing aja udah aneh 😓;-1;rt user user ada matic make knalpot racing aja udah aneh;['rt', 'user', 'user', 'ada', 'matic', 'make', 'knalpot', 'racing', 'aja', 'udah', 'aneh'];['rt', 'user', 'user', 'ada', 'matic', 'make', 'knalpot', 'racing', 'saja', 'sudah', 'aneh'];['rt', 'user', 'user', 'matic', 'make', 'knalpot', 'racing', 'aneh'];rt user user matic make knalpot racing aneh;rt user user matic make knalpot racing aneh
69;Motor matic pake knalpot racing aja udah aneh https://t.co/c092ablSjj;-1;motor matic pake knalpot racing aja udah aneh;['motor', 'matic', 'pake', 'knalpot', 'racing', 'aja', 'udah', 'aneh'];['motor', 'matic', 'pakai', 'knalpot', 'racing', 'saja', 'sudah', 'aneh'];['motor', 'matic', 'pakai', 'knalpot', 'racing', 'aneh'];motor matic pakai knalpot racing aneh;motor matic pakai knalpot racing aneh
70;RT @ardianrm: @ezash Ada matic make knalpot racing aja udah aneh 😓;-1;rt user user ada matic make knalpot racing aja udah aneh;['rt', 'user', 'user', 'ada', 'matic', 'make', 'knalpot', 'racing', 'aja', 'udah', 'aneh'];['rt', 'user', 'user', 'ada', 'matic', 'make', 'knalpot', 'racing', 'saja', 'sudah', 'aneh'];['rt', 'user', 'user', 'matic', 'make', 'knalpot', 'racing', 'aneh'];rt user user matic make knalpot racing aneh;rt user user matic make knalpot racing aneh
71;@ezash Ada matic make knalpot racing aja udah aneh 😓;-1;user ada matic make knalpot racing aja udah aneh;['user', 'ada', 'matic', 'make', 'knalpot', 'racing', 'aja', 'udah', 'aneh'];['user', 'ada', 'matic', 'make', 'knalpot', 'racing', 'saja', 'sudah', 'aneh'];['user', 'matic', 'make', 'knalpot', 'racing', 'aneh'];user matic make knalpot racing aneh;user matic make knalpot racing aneh
72;@kanbmoto @JlMINCLASSY WKWKWKWKW Besok kita lihat ada yang jadi knalpot racing. 🤩;0;user user allcaps wkwkwkwkw allcaps besok kita lihat ada yang jadi knalpot racing;['user', 'user', 'allcaps', 'wkwkwkwkw', 'allcaps', 'besok', 'kita', 'lihat', 'ada', 'yang', 'jadi', 'knalpot', 'racing'];['user', 'user', 'allcaps', 'wkwkwkwkw', 'allcaps', 'besok', 'kita', 'lihat', 'ada', 'yang', 'jadi', 'knalpot', 'racing'];['user', 'user', 'allcaps', 'wkwkwkwkw', 'allcaps', 'besok', 'lihat', 'knalpot', 'racing'];user user allcaps wkwkwkwkw allcaps besok lihat knalpot racing;user user allcaps wkwkwkwkw allcaps besok lihat knalpot racing
73;@satriovaz_ @maxversatan @bangopang_ @Arief_Raa CB yang divideo itu knalpot pake ori GL yang udah dibedel/bobok. Ka… https://t.co/MfH1YjpMgn;0;user user user user cb yang divideo itu knalpot pake ori gl yang udah dibedel bobok ka;['user', 'user', 'user', 'user', 'cb', 'yang', 'divideo', 'itu', 'knalpot', 'pake', 'ori', 'gl', 'yang', 'udah', 'dibedel', 'bobok', 'ka'];['user', 'user', 'user', 'user', 'cb', 'yang', 'divideo', 'itu', 'knalpot', 'pakai', 'ori', 'gl', 'yang', 'sudah', 'dibedel', 'bobok', 'ka'];['user', 'user', 'user', 'user', 'cb', 'divideo', 'knalpot', 'pakai', 'ori', 'gl', 'dibedel', 'bobok', 'ka'];user user user user cb divideo knalpot pakai ori gl dibedel bobok ka;user user user user cb video knalpot pakai ori gl bedel bobok ka
74;@podcastretropus Cot banget knalpot racing;1;user cot banget knalpot racing;['user', 'cot', 'banget', 'knalpot', 'racing'];['user', 'cot', 'banget', 'knalpot', 'racing'];['user', 'cot', 'banget', 'knalpot', 'racing'];user cot banget knalpot racing;user cot banget knalpot racing
75;@tololmeroket Lah terus itu kenapa knalpot racing ga ditutup aja pabrik nya pak ? Ato pabrik pisau dapur aja sekali… https://t.co/P1CVi6qpy7;-1;user lah terus itu kenapa knalpot racing ga ditutup aja pabrik nya pak ato pabrik pisau dapur aja sekali;['user', 'lah', 'terus', 'itu', 'kenapa', 'knalpot', 'racing', 'ga', 'ditutup', 'aja', 'pabrik', 'nya', 'pak', 'ato', 'pabrik', 'pisau', 'dapur', 'aja', 'sekali'];['user', 'lah', 'terus', 'itu', 'kenapa', 'knalpot', 'racing', 'tidak', 'ditutup', 'saja', 'pabrik', 'nya', 'pak', 'ato', 'pabrik', 'pisau', 'dapur', 'saja', 'sekali'];['user', 'knalpot', 'racing', 'ditutup', 'pabrik', 'nya', 'ato', 'pabrik', 'pisau', 'dapur'];user knalpot racing ditutup pabrik nya ato pabrik pisau dapur;user knalpot racing tutup pabrik nya ato pabrik pisau dapur
76;kamu kalo ga kerja mending jadi knalpot racing aja;1;kamu kalo ga kerja mending jadi knalpot racing aja;['kamu', 'kalo', 'ga', 'kerja', 'mending', 'jadi', 'knalpot', 'racing', 'aja'];['kamu', 'kalau', 'tidak', 'kerja', 'baiknya', 'jadi', 'knalpot', 'racing', 'saja'];['kerja', 'baiknya', 'knalpot', 'racing'];kerja baiknya knalpot racing;kerja baik knalpot racing
77;Motor bebek pake knalpot racing 75ribu, lewat gang kecil disumpahin ibu-ibu.;-1;motor bebek pake knalpot racing 7 5 ribu lewat gang kecil disumpahin ibu ibu;['motor', 'bebek', 'pake', 'knalpot', 'racing', '7', '5', 'ribu', 'lewat', 'gang', 'kecil', 'disumpahin', 'ibu', 'ibu'];['motor', 'bebek', 'pakai', 'knalpot', 'racing', '7', '5', 'ribu', 'lewat', 'gang', 'kecil', 'disumpahin', 'ibu', 'ibu'];['motor', 'bebek', 'pakai', 'knalpot', 'racing', '7', '5', 'ribu', 'gang', 'disumpahin'];motor bebek pakai knalpot racing 7 5 ribu gang disumpahin;motor bebek pakai knalpot racing 7 5 ribu gang disumpahin
78;RT @Anarkocheng: Ga kebayang kalo pecahnya dijalan kena muka pengendara lain. Semakin ada alasan buat anjing-anjingin knalpot berisik sok r…;1;rt user ga kebayang kalo pecahnya dijalan kena muka pengendara lain semakin ada alasan buat anjing anjingin knalpot berisik sok;['rt', 'user', 'ga', 'kebayang', 'kalo', 'pecahnya', 'dijalan', 'kena', 'muka', 'pengendara', 'lain', 'semakin', 'ada', 'alasan', 'buat', 'anjing', 'anjingin', 'knalpot', 'berisik', 'sok'];['rt', 'user', 'tidak', 'kebayang', 'kalau', 'pecahnya', 'dijalan', 'kena', 'muka', 'pengendara', 'lain', 'semakin', 'ada', 'alasan', 'buat', 'anjing', 'anjingin', 'knalpot', 'berisik', 'sok'];['rt', 'user', 'kebayang', 'pecahnya', 'dijalan', 'kena', 'muka', 'pengendara', 'alasan', 'anjing', 'anjingin', 'knalpot', 'berisik', 'sok'];rt user kebayang pecahnya dijalan kena muka pengendara alasan anjing anjingin knalpot berisik sok;rt user bayang pecah jalan kena muka kendara alas anjing anjingin knalpot berisik sok
79;@BijiSalak18 @Rizkywinaya @ernestprakasa pake fake knalpot racing yg isinya speaker kang tahu bulat aja 🤘🏻;-1;user user user pake fake knalpot racing yg isinya speaker kang tahu bulat aja;['user', 'user', 'user', 'pake', 'fake', 'knalpot', 'racing', 'yg', 'isinya', 'speaker', 'kang', 'tahu', 'bulat', 'aja'];['user', 'user', 'user', 'pakai', 'fake', 'knalpot', 'racing', 'yang', 'isinya', 'speaker', 'kang', 'tahu', 'bulat', 'saja'];['user', 'user', 'user', 'pakai', 'fake', 'knalpot', 'racing', 'isinya', 'speaker', 'kang', 'bulat'];user user user pakai fake knalpot racing isinya speaker kang bulat;user user user pakai fake knalpot racing isi speaker kang bulat
